"PM33A","A01-04","Nalidixic.Acid","","","","","","D00183","CAS 3374-05-8"
"PM33A","A05-08","Norfloxacin","","","","","","D00210","CAS 70458-96-7"
"PM33A","A09-12","Trimethoprim","","","","","","D08644","CAS 23256-42-0"
"PM33A","B01-04","Domiphen.bromide","","","","","","D01588","CAS 538-71-6"
"PM33A","B05-08","5-Fluorouracil","","","","","","D00584","CAS 51-21-8"
"PM33A","B09-12","Sodium.Dodecyl.Sulfate","","","","","","","CAS 151-21-3"
"PM33A","C01-04","Oleandomycin","","","","","","D02186","CAS 7060-74-4"
"PM33A","C05-08","Tylosin","","","","","","D10033","CAS 74610-55-2"
"PM33A","C09-12","Kanamycin.sulfate","","","","","","D00866","CAS 25389-94-0"
"PM33A","D01-04","Tobramycin","","","","","","D00063","CAS 32986-56-4"
"PM33A","D05-08","Erythromycin","","","","","","D00140","CAS 114-07-8"
"PM33A","D09-12","Spiramycin","","","","","","D05908","CAS 8025-81-8"
"PM33A","E01-04","Chlortetracycline.hydrochloride","","","","","","D02255","CAS 64-72-2"
"PM33A","E05-08","Tetracycline.hydrochloride","","","","","","D02122","CAS 64-75-5"
"PM33A","E09-12","Potassium.chromate","","","","","","","CAS 7789-00-6"
"PM33A","F01-04","Cefsulodin","","","","","","D02005","CAS 52152-93-9"
"PM33A","F05-08","Cephaloridine","","","","","","D01075","CAS 50-59-9"
"PM33A","F09-12","Cefuroxime","","","","","","D00915","CAS 55238-63-2"
"PM33A","G01-04","Amoxicillin","","","","","","D07452","CAS 26787-78-0"
"PM33A","G05-08","Ampicillin","","","","","","D02119","CAS 69-52-3"
"PM33A","G09-12","Azlocillin","","","","","","D03039","CAS 37091-65-9"
"PM33A","H01-04","Oxacillin","","","","","","D00929","CAS 7240-38-2"
"PM33A","H05-08","Penicillin.G","","","","","","D00868","CAS 69-57-8"
"PM33A","H09-12","Piperacillin","","","","","","D00466","CAS 59703-84-3"
