"PMM06","A01","Control","control","","","","","not available","CAS Control"
"PMM06","A02","Control","control","","","","","not available","CAS Control"
"PMM06","A03","Control","control","","","","","not available","CAS Control"
"PMM06","A04","Control","control","","","","","not available","CAS Control"
"PMM06","A05","Control","control","","","","","not available","CAS Control"
"PMM06","A06","Control","control","","","","","not available","CAS Control"
"PMM06","A07","Dibutyryl cAMP","cAMP analog, stimulates Na+, K+-ATPase activity","","","","","","CAS 16980-89-5"
"PMM06","A08","Dibutyryl cAMP","cAMP analog, stimulates Na+, K+-ATPase activity","","","","","","CAS 16980-89-5"
"PMM06","A09","Dibutyryl cAMP","cAMP analog, stimulates Na+, K+-ATPase activity","","","","","","CAS 16980-89-5"
"PMM06","A10","Dibutyryl cAMP","cAMP analog, stimulates Na+, K+-ATPase activity","","","","","","CAS 16980-89-5"
"PMM06","A11","Dibutyryl cAMP","cAMP analog, stimulates Na+, K+-ATPase activity","","","","","","CAS 16980-89-5"
"PMM06","A12","Dibutyryl cAMP","cAMP analog, stimulates Na+, K+-ATPase activity","","","","","","CAS 16980-89-5"
"PMM06","B01","3-Isobutyl-1-methylxanthine","phosphodiesterases (PDE) and adenosine receptors, increases Ca2+ release from caffeine ryanodine sensitive internal stores","","","","","","CAS 28822-58-4"
"PMM06","B02","3-Isobutyl-1-methylxanthine","phosphodiesterases (PDE) and adenosine receptors, increases Ca2+ release from caffeine ryanodine sensitive internal stores","","","","","","CAS 28822-58-4"
"PMM06","B03","3-Isobutyl-1-methylxanthine","phosphodiesterases (PDE) and adenosine receptors, increases Ca2+ release from caffeine ryanodine sensitive internal stores","","","","","","CAS 28822-58-4"
"PMM06","B04","3-Isobutyl-1-methylxanthine","phosphodiesterases (PDE) and adenosine receptors, increases Ca2+ release from caffeine ryanodine sensitive internal stores","","","","","","CAS 28822-58-4"
"PMM06","B05","3-Isobutyl-1-methylxanthine","phosphodiesterases (PDE) and adenosine receptors, increases Ca2+ release from caffeine ryanodine sensitive internal stores","","","","","","CAS 28822-58-4"
"PMM06","B06","3-Isobutyl-1-methylxanthine","phosphodiesterases (PDE) and adenosine receptors, increases Ca2+ release from caffeine ryanodine sensitive internal stores","","","","","","CAS 28822-58-4"
"PMM06","B07","Caffeine","adenosine A1-R and A2A-R blocker, cAMP phosphodiesterase inhibitor, reduces uptake and increases release of Ca2+ by SR","","","","","D00528","CAS 58-08-2"
"PMM06","B08","Caffeine","adenosine A1-R and A2A-R blocker, cAMP phosphodiesterase inhibitor, reduces uptake and increases release of Ca2+ by SR","","","","","D00528","CAS 58-08-2"
"PMM06","B09","Caffeine","adenosine A1-R and A2A-R blocker, cAMP phosphodiesterase inhibitor, reduces uptake and increases release of Ca2+ by SR","","","","","D00528","CAS 58-08-2"
"PMM06","B10","Caffeine","adenosine A1-R and A2A-R blocker, cAMP phosphodiesterase inhibitor, reduces uptake and increases release of Ca2+ by SR","","","","","D00528","CAS 58-08-2"
"PMM06","B11","Caffeine","adenosine A1-R and A2A-R blocker, cAMP phosphodiesterase inhibitor, reduces uptake and increases release of Ca2+ by SR","","","","","D00528","CAS 58-08-2"
"PMM06","B12","Caffeine","adenosine A1-R and A2A-R blocker, cAMP phosphodiesterase inhibitor, reduces uptake and increases release of Ca2+ by SR","","","","","D00528","CAS 58-08-2"
"PMM06","C01","Epinephrine","neurotransmitter, an endogenous alpha-, and beta-adrenergic receptor agonist","","","","","D00095","CAS 329-63-5"
"PMM06","C02","Epinephrine","neurotransmitter, an endogenous alpha-, and beta-adrenergic receptor agonist","","","","","D00095","CAS 329-63-5"
"PMM06","C03","Epinephrine","neurotransmitter, an endogenous alpha-, and beta-adrenergic receptor agonist","","","","","D00095","CAS 329-63-5"
