ECO,A01,Negative Control,Negative Control,,,,,,CAS Negative Control
ECO,A02,beta-Methyl-D-Glucoside,"C-Source, carbohydrate",,,,,,CAS 709-50-2
ECO,A03,D-Galactonic Acid-gamma-Lactone,"C-Source, carbohydrate",,,,,C03383,CAS 2782-07-2
ECO,A04,L-Arginine,"C-Source, amino acid",,,,,C00062,CAS 1119-34-2
ECO,A05,Negative Control,Negative Control,,,,,,CAS Negative Control
ECO,A06,beta-Methyl-D-Glucoside,"C-Source, carbohydrate",,,,,,CAS 709-50-2
ECO,A07,D-Galactonic Acid-gamma-Lactone,"C-Source, carbohydrate",,,,,C03383,CAS 2782-07-2
ECO,A08,L-Arginine,"C-Source, amino acid",,,,,C00062,CAS 1119-34-2
ECO,A09,Negative Control,Negative Control,,,,,,CAS Negative Control
ECO,A10,beta-Methyl-D-Glucoside,"C-Source, carbohydrate",,,,,,CAS 709-50-2
ECO,A11,D-Galactonic Acid-gamma-Lactone,"C-Source, carbohydrate",,,,,C03383,CAS 2782-07-2
ECO,A12,L-Arginine,"C-Source, amino acid",,,,,C00062,CAS 1119-34-2
ECO,B01,Pyruvic Acid methyl ester,"C-Source, ester",,,,,,CAS 600-22-6
ECO,B02,D-Xylose,"C-Source, carbohydrate",,,,,C00181,CAS 58-86-6
ECO,B03,D-Galacturonic Acid,"C-Source, carboxylic acid",,,,,C00333,CAS 91510-62-2
ECO,B04,L-Asparagine,"C-Source, amino acid",,,,,C00152,CAS 70-47-3
ECO,B05,Pyruvic Acid methyl ester,"C-Source, ester",,,,,,CAS 600-22-6
ECO,B06,D-Xylose,"C-Source, carbohydrate",,,,,C00181,CAS 58-86-6
ECO,B07,D-Galacturonic Acid,"C-Source, carboxylic acid",,,,,C00333,CAS 91510-62-2
ECO,B08,L-Asparagine,"C-Source, amino acid",,,,,C00152,CAS 70-47-3
ECO,B09,Pyruvic Acid methyl ester,"C-Source, ester",,,,,,CAS 600-22-6
ECO,B10,D-Xylose,"C-Source, carbohydrate",,,,,C00181,CAS 58-86-6
ECO,B11,D-Galacturonic Acid,"C-Source, carboxylic acid",,,,,C00333,CAS 91510-62-2
ECO,B12,L-Asparagine,"C-Source, amino acid",,,,,C00152,CAS 70-47-3
ECO,C01,Tween 40,"C-Source, fatty acid",,,,,D05566,CAS 9005-66-7
ECO,C02,Erythritol,"C-Source, carbohydrate",,,,,C00503,CAS 149-32-6
ECO,C03,2-Hydroxybenzoic Acid,"C-Source, carboxylic acid",,,,,C00805,CAS 54-21-7
ECO,C04,L-Phenylalanine,"C-Source, amino acid",,,,,C00079,CAS 63-91-2
ECO,C05,Tween 40,"C-Source, fatty acid",,,,,D05566,CAS 9005-66-7
ECO,C06,Erythritol,"C-Source, carbohydrate",,,,,C00503,CAS 149-32-6
