"PM32A","A01-04","t-Butyl.Hydorquinone","","","","","","","CAS 1948-33-0"
"PM32A","A05-08","Chloramphenicol","","","","","","D00104","CAS 56-75-7"
"PM32A","A09-12","Fusidic.Acid","","","","","","D04281","CAS 751-94-0"
"PM32A","B01-04","Lincomycin","","","","","","D02346","CAS 859-18-7"
"PM32A","B05-08","Puromycin","","","","","","D05655","CAS 58-58-2"
"PM32A","B09-12","Amikacin","","","","","","D00865","CAS 39831-55-5"
"PM32A","C01-04","Demeclocyline","","","","","","D00290","CAS 64-73-3"
"PM32A","C05-08","Rolitetracycline","","","","","","D02282","CAS 751-97-3"
"PM32A","C09-12","Potassium.Tellurite","","","","","","","CAS 123333-66-4"
"PM32A","D01-04","Sodium.Arsenate","","","","","","","CAS 10048-95-0"
"PM32A","D05-08","Sodium.Orthovanadate","","","","","","","CAS 13721-39-6"
"PM32A","D09-12","Cadmium.chloride.hydrate","","","","","","","CAS 7790-78-5"
"PM32A","E01-04","Thallium(I).Acetate","","","","","","","CAS 563-68-8"
"PM32A","E05-08","Colchicine","","","","","","D00570","CAS 64-86-8"
"PM32A","E09-12","Phosphomycin","","","","","","","CAS 26016-99-9"
"PM32A","F01-04","Bacitracin","","","","","","","CAS 1405-87-4"
"PM32A","F05-08","Cefmetazole","","","","","","D00910","CAS 56796-39-5"
"PM32A","F09-12","Ceftriaxone","","","","","","D00924","CAS 104376-79-6"
"PM32A","G01-04","Cefotaxime","","","","","","D00919","CAS 64485-93-4"
"PM32A","G05-08","Cefazolin","","","","","","D02299","CAS 25953-19-9"
"PM32A","G09-12","Cefamandole","","","","","","D00909","CAS 42540-40-9"
"PM32A","H01-04","Cefoxitin","","","","","","D00913","CAS 33564-30-6"
"PM32A","H05-08","Cefoperazone","","","","","","D00918","CAS 62893-20-3"
"PM32A","H09-12","D-Cycloserine","","","","","","D00877","CAS 68-41-7"
